TCR_ID_old,TCR_ID_new,Score_old,Score_new,Reference_old
VDJdb134,VDJdb2035,2,0,37749325
VDJdb135,VDJdb2038,3,0,37749325
VDJdb136,VDJdb2040,2,0,37749325
VDJdb137,VDJdb2041,2,0,37749325
VDJdb138,VDJdb2042,2,0,37749325
VDJdb139,VDJdb43275,2,3,38684663
VDJdb140,VDJdb60955,2,0,34793243
VDJdb141,VDJdb1587,2,3,37749325
VDJdb142,VDJdb2044,3,0,37749325
VDJdb144,VDJdb61050,2,0,34793243
VDJdb146,VDJdb2045,2,0,37749325
VDJdb147,VDJdb1153,2,3,37749325
VDJdb148,VDJdb2047,2,0,37749325
VDJdb150,VDJdb2048,2,0,37749325
VDJdb151,VDJdb2049,2,0,37749325
VDJdb152,VDJdb2050,2,0,37749325
VDJdb153,VDJdb2051,2,0,37749325
VDJdb154,VDJdb61229,2,0,34793243
VDJdb156,VDJdb61322,2,0,34793243
VDJdb158,VDJdb2054,3,0,37749325
VDJdb159,VDJdb61413,2,0,34793243
VDJdb160,VDJdb2055,2,0,37749325
VDJdb161,VDJdb2056,2,0,37749325
VDJdb162,VDJdb2059,2,0,37749325
VDJdb163,VDJdb2060,2,0,37749325
VDJdb164,VDJdb2061,2,0,37749325
VDJdb165,VDJdb1535,2,3,37749325
VDJdb166,VDJdb61502,2,0,34793243
VDJdb167,VDJdb2062,3,0,37749325
VDJdb168,VDJdb2063,2,0,37749325
VDJdb169,VDJdb2064,2,0,37749325
VDJdb170,VDJdb815,1,3,37749325
VDJdb171,VDJdb61593,2,0,34793243
VDJdb172,VDJdb814,2,3,37749325
VDJdb173,VDJdb817,2,3,37749325
VDJdb174,VDJdb816,2,3,37749325
VDJdb175,VDJdb818,2,3,37749325
VDJdb176,VDJdb819,2,3,37749325
VDJdb177,VDJdb820,1,3,37749325
VDJdb178,VDJdb1090,2,3,37749325
VDJdb179,VDJdb1084,2,3,37749325
VDJdb180,VDJdb61675,2,0,34793243
VDJdb181,VDJdb1085,2,3,37749325
VDJdb182,VDJdb1086,2,3,37749325
VDJdb183,VDJdb1088,2,3,37749325
VDJdb184,VDJdb1089,2,3,37749325
VDJdb185,VDJdb1091,2,3,37749325
VDJdb186,VDJdb1093,2,3,37749325
VDJdb187,VDJdb1094,2,3,37749325
VDJdb188,VDJdb1095,2,3,37749325
VDJdb189,VDJdb1096,2,3,37749325
VDJdb190,VDJdb61768,2,0,34793243
VDJdb191,VDJdb1097,2,3,37749325
VDJdb192,VDJdb1099,2,3,37749325
VDJdb193,VDJdb1100,2,3,37749325
VDJdb194,VDJdb1101,2,3,37749325
VDJdb195,VDJdb1102,2,3,37749325
VDJdb196,VDJdb1103,2,3,37749325
VDJdb197,VDJdb1104,2,3,37749325
VDJdb198,VDJdb1105,2,3,37749325
VDJdb199,VDJdb1110,2,3,37749325
VDJdb200,VDJdb44318,2,3,38684663
VDJdb202,VDJdb2069,2,0,37749325
VDJdb203,VDJdb1107,2,3,37749325
VDJdb204,VDJdb2070,2,0,37749325
VDJdb205,VDJdb2071,3,0,37749325
VDJdb206,VDJdb2072,2,0,37749325
